Utterances,Intent
ok i'm sorry,dialog_sorry
excuse me,dialog_sorry
apologise,dialog_sorry
I apologize,dialog_sorry
sorry,dialog_sorry
I'm sorry,dialog_sorry
I am so sorry,dialog_sorry
my apologies,dialog_sorry
apologies,dialog_sorry
pardon,dialog_sorry
I said sorry,dialog_sorry
I am really sorry,dialog_sorry
forgive me,dialog_sorry
sorry about that,dialog_sorry
sorry about this,dialog_sorry
really sorry,dialog_sorry
very sorry,dialog_sorry
ok sorry,dialog_sorry
I want to say sorry,dialog_sorry
alright I'm sorry,dialog_sorry
okay I'm sorry,dialog_sorry
what exactly do you mean?,dialog_clarify
what do you mean?,dialog_clarify
what do you mean exactly?,dialog_clarify
what exactly are you referring to?,dialog_clarify
say that again,dialog_clarify
what’s that now?,dialog_clarify
what exactly are you saying?,dialog_clarify
it wasn't right,dialog_wrong
it's not what i asked,dialog_wrong
that's not what i asked,dialog_wrong
that's the wrong thing,dialog_wrong
there's a mistake,dialog_wrong
it's just wrong,dialog_wrong
it's not correct,dialog_wrong
that's not correct,dialog_wrong
that was wrong,dialog_wrong
that's wrong,dialog_wrong
wrong,dialog_wrong
it is not right,dialog_wrong
that's not right,dialog_wrong
it's wrong,dialog_wrong
that is incorrect,dialog_wrong
incorrect,dialog_wrong
not correct,dialog_wrong
you are wrong,dialog_wrong
not right,dialog_wrong
lol,emotions_ha_ha
xd,emotions_ha_ha
ha ha,emotions_ha_ha
ahahah,emotions_ha_ha
ahah lol,emotions_ha_ha
laughing out loud,emotions_ha_ha
LMAO,emotions_ha_ha
that's funny,emotions_ha_ha
ah,emotions_ha_ha
ah ah ah,emotions_ha_ha
ahah,emotions_ha_ha
ahaha,emotions_ha_ha
ahahaha,emotions_ha_ha
ha,emotions_ha_ha
ha ha ha,emotions_ha_ha
ha ha ha ha,emotions_ha_ha
hah,emotions_ha_ha
haha,emotions_ha_ha
haha funny,emotions_ha_ha
haha haha haha,emotions_ha_ha
haha that's funny,emotions_ha_ha
haha very funny,emotions_ha_ha
hahaha,emotions_ha_ha
hahaha funny,emotions_ha_ha
hahaha very funny,emotions_ha_ha
he,emotions_ha_ha
hehe,emotions_ha_ha
hehehe,emotions_ha_ha
lmao,emotions_ha_ha
ahahh,emotions_ha_ha
ahahahah,emotions_ha_ha
ahahahaha,emotions_ha_ha
hahahahahaha,emotions_ha_ha
haha hahaha haha,emotions_ha_ha
hahaha hahahahaha,emotions_ha_ha
funny,emotions_ha_ha
very funny,emotions_ha_ha
very funny,emotions_ha_ha
okay see you later,greetings_bye
hope to see you later,greetings_bye
bye for now,greetings_bye
till next time,greetings_bye
I must go,greetings_bye
bye,greetings_bye
goodbye,greetings_bye
see you,greetings_bye
see you soon,greetings_bye
bye-bye,greetings_bye
good bye,greetings_bye
bye bye see you,greetings_bye
bye bye see you soon,greetings_bye
bye bye take care,greetings_bye
that's all goodbye,greetings_bye
that's it goodbye,greetings_bye
goodbye see you later,greetings_bye
alright bye,greetings_bye
see ya,greetings_bye
thanks bye bye,greetings_bye
okay bye,greetings_bye
okay thank you bye,greetings_bye
see you tomorrow,greetings_bye
ok bye,greetings_bye
till the next time,greetings_bye
i have to go,greetings_bye
never mind,greetings_bye
so goodbye,greetings_bye
that's all for goodbye,greetings_bye
ok good bye,greetings_bye
good evening,greetings_goodevening
good evening to you,greetings_goodevening
hey good evening,greetings_goodevening
hello good evening,greetings_goodevening
evening,greetings_goodevening
good evening there,greetings_goodevening
i hope you have a good night,greetings_goodevening
morning,greetings_goodmorning
good morning,greetings_goodmorning
good morning to you,greetings_goodmorning
hello good morning,greetings_goodmorning
good morning there,greetings_goodmorning
top of the morning to you,greetings_goodmorning
a good morning,greetings_goodmorning
hi good morning,greetings_goodmorning
sweet dreams,greetings_goodnight
good night,greetings_goodnight
have a good night,greetings_goodnight
good night to you,greetings_goodnight
thank you good night,greetings_goodnight
bye good night,greetings_goodnight
good night bye,greetings_goodnight
good good night,greetings_goodnight
good night for now,greetings_goodnight
goodnight,greetings_goodnight
night,greetings_goodnight
thanks goodnight,greetings_goodnight
good night see you tomorrow,greetings_goodnight
alright goodnight,greetings_goodnight
good tonight,greetings_goodnight
okay have a good night,greetings_goodnight
goodbye goodnight,greetings_goodnight
goodbye good night,greetings_goodnight
good night goodbye,greetings_goodnight
all right good night,greetings_goodnight
all right goodnight,greetings_goodnight
all right have a good night,greetings_goodnight
good day,greetings_hello
long time no see,greetings_hello
hello,greetings_hello
hi,greetings_hello
howdy,greetings_hello
hey there,greetings_hello
hey,greetings_hello
greetings,greetings_hello
I greet you,greetings_hello
hi there,greetings_hello
hello there,greetings_hello
lovely day isn't it,greetings_hello
hello again,greetings_hello
just going to say hi,greetings_hello
a good day,greetings_hello
afternoon,greetings_hello
hello hi,greetings_hello
heya,greetings_hello
how is your morning so far,greetings_how_are_you
how are you getting on,greetings_how_are_you
how's your day going,greetings_how_are_you
how are you,greetings_how_are_you
is everything alright?,greetings_how_are_you
how are you doing?,greetings_how_are_you
how are the things going?,greetings_how_are_you
are you alright?,greetings_how_are_you
are you okay?,greetings_how_are_you
how are you feeling?,greetings_how_are_you
is everything okay?,greetings_how_are_you
how are you today?,greetings_how_are_you
how do you do?,greetings_how_are_you
how do you feel?,greetings_how_are_you
how have you been?,greetings_how_are_you
how goes it?,greetings_how_are_you
how is it going?,greetings_how_are_you
how is your day?,greetings_how_are_you
how is your day going?,greetings_how_are_you
how is your evening?,greetings_how_are_you
are you having a good day?,greetings_how_are_you
hope your day is going well,greetings_how_are_you
hope you're having a pleasant evening,greetings_how_are_you
how's life?,greetings_how_are_you
how is your life?,greetings_how_are_you
how has your day been?,greetings_how_are_you
how is your morning going?,greetings_how_are_you
how has your day been going?,greetings_how_are_you
how are you doing this morning?,greetings_how_are_you
how's your morning going?,greetings_how_are_you
how is your morning so far?,greetings_how_are_you
what's your progress?,greetings_how_are_you
how're you doing?,greetings_how_are_you
how are you?,greetings_how_are_you
how is everything?,greetings_how_are_you
how are things going?,greetings_how_are_you
how are you doing?,greetings_how_are_you
how're you doing?,greetings_how_are_you
how is your day going?,greetings_how_are_you
how are you doing today?,greetings_how_are_you
how are the things going?,greetings_how_are_you
are you okay?,greetings_how_are_you
are you fine?,greetings_how_are_you
how's the mood?,greetings_how_are_you
how's your mood?,greetings_how_are_you
what are you feeling like?,greetings_how_are_you
how are you today?,greetings_how_are_you
how's it?,greetings_how_are_you
how it's going?,greetings_how_are_you
how's it going?,greetings_how_are_you
how's your night?,greetings_how_are_you
how's your evening?,greetings_how_are_you
are you having a good day?,greetings_how_are_you
how's life?,greetings_how_are_you
i'm fine and you're fine,greetings_how_are_you
how's your life?,greetings_how_are_you
how is your life?,greetings_how_are_you
how's the day going?,greetings_how_are_you
how's your day going?,greetings_how_are_you
how is your morning going?,greetings_how_are_you
what's your day like?,greetings_how_are_you
what about you?,greetings_how_are_you
i'm glad to meet you,greetings_nice_to_meet_you
happy to meet you,greetings_nice_to_meet_you
it's an honour to meet you,greetings_nice_to_meet_you
nice to meet you,greetings_nice_to_meet_you
it was nice meeting you,greetings_nice_to_meet_you
it was very nice to meet you,greetings_nice_to_meet_you
glad to meet you,greetings_nice_to_meet_you
nice meeting you,greetings_nice_to_meet_you
pleased to meet you,greetings_nice_to_meet_you
pleasure to meet you,greetings_nice_to_meet_you
wonderful to meet you,greetings_nice_to_meet_you
what a pleasure to meet you,greetings_nice_to_meet_you
it's nice to see you,greetings_nice_to_see_you
lovely to see you,greetings_nice_to_see_you
I'm glad to see you,greetings_nice_to_see_you
great to see you,greetings_nice_to_see_you
it's good to see you,greetings_nice_to_see_you
glad to see you,greetings_nice_to_see_you
how good it is to see you,greetings_nice_to_see_you
always a pleasure to see you,greetings_nice_to_see_you
nice to see you,greetings_nice_to_see_you
good to see you,greetings_nice_to_see_you
great to see you again,greetings_nice_to_see_you
I am glad to see you again,greetings_nice_to_see_you
nice to see you again,greetings_nice_to_see_you
good to see you again,greetings_nice_to_see_you
happy to see you,greetings_nice_to_see_you
how nice to see you,greetings_nice_to_see_you
glad to see you again,greetings_nice_to_see_you
it's nice talking to you,greetings_nice_to_talk_to_you
it was nice to talk with you,greetings_nice_to_talk_to_you
it's really nice to talk to you,greetings_nice_to_talk_to_you
i'm happy to talk to you,greetings_nice_to_talk_to_you
what a pleasure to chat with you,greetings_nice_to_talk_to_you
how nice to talk to you,greetings_nice_to_talk_to_you
it's been so nice to talk to you,greetings_nice_to_talk_to_you
it's been a pleasure talking to you,greetings_nice_to_talk_to_you
nice to talk to you,greetings_nice_to_talk_to_you
it's nice to talk to you,greetings_nice_to_talk_to_you
nice talking to you,greetings_nice_to_talk_to_you
it is nice talking to you,greetings_nice_to_talk_to_you
how nice it is to talk to you,greetings_nice_to_talk_to_you
what is on your mind,greetings_whatsup
what is up,greetings_whatsup
what's up,greetings_whatsup
whazzup,greetings_whatsup
good what's up,greetings_whatsup
what's shaking,greetings_whatsup
wassup,greetings_whatsup
what is going on,greetings_whatsup
what is happening,greetings_whatsup
what's cracking,greetings_whatsup
what's cooking,greetings_whatsup
hey what's up,greetings_whatsup
what's up today,greetings_whatsup
what's your thought?,greetings_whatsup
what happened?,greetings_whatsup
what happened,greetings_whatsup
what's happened?,greetings_whatsup
what's going on here?,greetings_whatsup
what?,greetings_whatsup
what is going on?,greetings_whatsup
what's the crack?,greetings_whatsup
what's cooking?,greetings_whatsup
hey what's up?,greetings_whatsup
i'm mad about this,user_angry
i'm angry,user_angry
i am angry,user_angry
i'm mad,user_angry
i'm infuriated,user_angry
i'm enraged,user_angry
i'm upset,user_angry
i'm angry,user_angry
i'm furious,user_angry
i'm mad at you,user_angry
i'm angry at you,user_angry
i'm angry with you,user_angry
i am angry with you,user_angry
i'm so mad,user_angry
i am mad at you,user_angry
I'm being mad,user_angry
I'm enraged,user_angry
I'm angry,user_angry
I'm furious,user_angry
I am angry with you,user_angry
I am mad,user_angry
I am mad at you,user_angry
i'm bored,user_bored
i'm getting bored,user_bored
i am getting bored,user_bored
it's boring,user_bored
it's a bit boring,user_bored
that was boring,user_bored
I'm bored,user_bored
bored,user_bored
boring,user_bored
I am getting bored,user_bored
this is boring,user_bored
very boring,user_bored
it bores me,user_bored
I'm overloaded,user_busy
I have no time,user_busy
I'm busy,user_busy
I'm swamped,user_busy
I got things to do,user_busy
how busy I am,user_busy
i'm overwhelmed,user_busy
i'm overloaded,user_busy
i don't have time,user_busy
i'm busy,user_busy
i'm flooded,user_busy
i'm so swamped,user_busy
i'm being swamped,user_busy
i'm swamped,user_busy
i have things to do,user_busy
i have something to do,user_busy
i have to do some work,user_busy
i have a job to do,user_busy
i have some work to do,user_busy
i work,user_busy
i'm a worker,user_busy
i'm working,user_busy
i don't have time to do this,user_busy
i don't have time for it,user_busy
i don't have time for this,user_busy
i'm an insomniac,user_can_not_sleep
i'm insomniac,user_can_not_sleep
i'm insomnious,user_can_not_sleep
i'm a sleepless mess,user_can_not_sleep
i'm sleepy,user_can_not_sleep
i'm sleepless,user_can_not_sleep
i can't sleep,user_can_not_sleep
i can't get any sleep,user_can_not_sleep
i'm not able to sleep,user_can_not_sleep
can't sleep at all,user_can_not_sleep
i can't fall asleep,user_can_not_sleep
i can't go to bed,user_can_not_sleep
i can't get to sleep,user_can_not_sleep
i can't have sleep,user_can_not_sleep
i am an insomniac,user_can_not_sleep
i am a insomniac,user_can_not_sleep
I'm insomnious,user_can_not_sleep
I'm sleepless,user_can_not_sleep
I can't get any sleep,user_can_not_sleep
I can't sleep,user_can_not_sleep
I can't fall asleep,user_can_not_sleep
I can't get to sleep,user_can_not_sleep
I can't get no sleep,user_can_not_sleep
I'm insomniac,user_can_not_sleep
I am excited,user_excited
I'm really excited,user_excited
how excited I am,user_excited
I'm thrilled,user_excited
i'm excited,user_excited
i'm very excited,user_excited
i'm really excited,user_excited
how excited i am,user_excited
i'm very excited about this,user_excited
i'm so excited,user_excited
i'm delighted,user_excited
i'm really thrilled,user_excited
i'm thrilled,user_excited
i want to go to sleep,user_going_to_bed
i want to go to bed,user_going_to_bed
i'd like to go to sleep,user_going_to_bed
i'd like to go to bed,user_going_to_bed
the time to go to bed,user_going_to_bed
i'm going to bed,user_going_to_bed
i'm tired and i want to go to bed,user_going_to_bed
i'm a little tired i want to go to bed,user_going_to_bed
i'm a little tired and i want to go to bed,user_going_to_bed
go to bed,user_going_to_bed
let's go to bed,user_going_to_bed
I'd like to go to bed,user_going_to_bed
is it time for bed yet,user_going_to_bed
it's time to go to bed,user_going_to_bed
time for us to go to bed,user_going_to_bed
I'm going to bed,user_going_to_bed
I'm a little tired and I want to go to bed,user_going_to_bed
it's bed time,user_going_to_bed
going to bed now,user_going_to_bed
I am good,user_good
I'm doing just great,user_good
I'm doing fine,user_good
I'm good,user_good
I'm doing good,user_good
I'm great thanks,user_good
i'm good,user_good
i do great,user_good
i'm doing pretty good,user_good
i'm doing so well,user_good
i'm doing great,user_good
i'm ok,user_good
i'm feeling good,user_good
i'm doing okay,user_good
i'm doing well,user_good
i'm doing fine,user_good
i'm doing good,user_good
i'm great thanks,user_good
i'm glad,user_happy
i'm happy,user_happy
i am happy,user_happy
if you are happy then so am i,user_happy
if you are happy then i'm happy,user_happy
if you're happy then i'm happy,user_happy
I am happy,user_happy
I'm happy to see you,user_happy
happy,user_happy
if you're happy then I'm happy,user_happy
I'm happy for you,user_happy
I'm happy to help,user_happy
it is my birthday,user_has_birthday
I'm celebrating my birthday today,user_has_birthday
today is my birthday,user_has_birthday
it's my birthday today,user_has_birthday
I was born today,user_has_birthday
it's my b-day,user_has_birthday
i have a birthday today,user_has_birthday
i celebrate my birthday today,user_has_birthday
i'm celebrating my birthday today,user_has_birthday
today's my birthday,user_has_birthday
today it's my birthday,user_has_birthday
i'm having my birthday today,user_has_birthday
my birthday,user_has_birthday
i have a birthday,user_has_birthday
I am joking,user_joking
I'm kidding,user_joking
I'm just being funny,user_joking
it was a joke,user_joking
I was just joking,user_joking
it's a joke,user_joking
joking,user_joking
just kidding,user_joking
kidding,user_joking
I'm just playing with you,user_joking
i'm just kidding,user_joking
i'm just saying,user_joking
i'm just joking,user_joking
i'm joking,user_joking
i am kidding,user_joking
i'm kidding,user_joking
i just'm trying to be funny,user_joking
i'm just funny,user_joking
i'm just having fun,user_joking
that was a joke,user_joking
just a joke,user_joking
i just thought it was a joke,user_joking
i just joked,user_joking
i was just joking,user_joking
i'm just making a joke,user_joking
that's a joke,user_joking
i'm doing it as a joke,user_joking
i'm just playing with you,user_joking
i like you,user_likes_bot
i think i like you,user_likes_bot
i like you too,user_likes_bot
but i like you,user_likes_bot
i like you very much,user_likes_bot
you're special for me,user_likes_bot
you know i like you,user_likes_bot
you're special to me,user_likes_bot
but i really like you,user_likes_bot
that's what i love about you,user_likes_bot
that's what i like about you,user_likes_bot
i like you as my friend,user_likes_bot
i like you as a friend,user_likes_bot
i told you i like you,user_likes_bot
you're great and i like you,user_likes_bot
but i like u,user_likes_bot
you're funny and i like you,user_likes_bot
i kind of like you,user_likes_bot
you're a special person to me,user_likes_bot
you're my special guy,user_likes_bot
i like you like that,user_likes_bot
i like you so much,user_likes_bot
i really like you,user_likes_bot
I like you the way you are,user_likes_bot
I like you,user_likes_bot
I like you a lot,user_likes_bot
I think I like you,user_likes_bot
I liked you,user_likes_bot
like you a lot,user_likes_bot
you are special,user_likes_bot
I like you too,user_likes_bot
I really like you,user_likes_bot
I like u,user_likes_bot
just like you,user_likes_bot
I like you very much,user_likes_bot
I like you so much,user_likes_bot
yeah I like you,user_likes_bot
you're special,user_likes_bot
yes I like you,user_likes_bot
okay I like you,user_likes_bot
you are special to me,user_likes_bot
you are very special,user_likes_bot
you are so sweet,user_likes_bot
you know I like you,user_likes_bot
that's why I like you,user_likes_bot
you are very special to me,user_likes_bot
I just like you,user_likes_bot
hey I like you,user_likes_bot
thank you I like you too,user_likes_bot
I do like you,user_likes_bot
you are special for me,user_likes_bot
that's what I like about you,user_likes_bot
you are so special,user_likes_bot
hi I like you,user_likes_bot
I really really like you,user_likes_bot
you're awesome I like you,user_likes_bot
I also like you,user_likes_bot
of course I like you,user_likes_bot
I am lonely,user_lonely
I'm very lonely,user_lonely
I'm so lonely,user_lonely
I'm really lonely,user_lonely
I am feeling lonely,user_lonely
I feel lonely,user_lonely
i'm lonely,user_lonely
i am very lonely,user_lonely
i'm very lonely,user_lonely
i'm so alone,user_lonely
i'm so lonely,user_lonely
i feel alone,user_lonely
i feel lonely,user_lonely
i'm feeling lonely,user_lonely
what do i look like?,user_looks_like
how do i look?,user_looks_like
do i look good?,user_looks_like
you know what i look like?,user_looks_like
don't you know what i look like?,user_looks_like
do you know what i look like?,user_looks_like
can you see how i look?,user_looks_like
can you see what i'm like?,user_looks_like
can you see what i look like?,user_looks_like
what do you think i look like?,user_looks_like
what do I look like,user_looks_like
how do I look,user_looks_like
do you know what I look like,user_looks_like
can you see what I look like,user_looks_like
what do you think I look like,user_looks_like
I love you,user_loves_bot
love you,user_loves_bot
I adore you,user_loves_bot
I am in love with you,user_loves_bot
I love you so much,user_loves_bot
I love you too,user_loves_bot
I think I love you,user_loves_bot
loving you,user_loves_bot
you know I love you,user_loves_bot
i love you,user_loves_bot
i also love you,user_loves_bot
i love you too,user_loves_bot
i think i'm in love with you,user_loves_bot
i think i love you,user_loves_bot
you know i love you,user_loves_bot
i'm sad,user_sad
i grieve,user_sad
i'm grieving,user_sad
i'm depressed,user_sad
i feel sad,user_sad
i'm feeling sad,user_sad
i'm frustrated,user_sad
i'm upset,user_sad
i am upset,user_sad
i'm just not happy,user_sad
i am unhappy,user_sad
i'm unhappy,user_sad
i have a bad day,user_sad
i'm having a bad day,user_sad
i want to cry,user_sad
i'm not happy about it,user_sad
i'm not happy,user_sad
I am sad,user_sad
I'm grieving,user_sad
I am depressed,user_sad
I am feeling sad,user_sad
I am upset,user_sad
I'm unhappy,user_sad
I'm having a bad day,user_sad
I want to cry,user_sad
I'm not happy,user_sad
I am sleepy,user_sleepy
I want to sleep,user_sleepy
I'm falling asleep,user_sleepy
I'm falling asleep on my feet,user_sleepy
I'm sleeping,user_sleepy
i'm sleepy,user_sleepy
i want to sleep,user_sleepy
i am going to sleep,user_sleepy
i'm trying to fall asleep,user_sleepy
i'm falling asleep,user_sleepy
i sleep,user_sleepy
i'm sleeping,user_sleepy
I'm drained,user_tired
I've overworked,user_tired
I am tired,user_tired
I'm exhausted,user_tired
I grow weary,user_tired
I'm worn out,user_tired
I'm getting tired,user_tired
I feel tired,user_tired
i'm exhausted,user_tired
i'm depleted,user_tired
i'm drained,user_tired
i'm too busy,user_tired
i've been so overworked,user_tired
i'm overworked,user_tired
i've overworked,user_tired
i'm tired,user_tired
i am tired,user_tired
i get tired,user_tired
i become weary,user_tired
i get weary,user_tired
i grow weary,user_tired
i'm wiped out,user_tired
i'm getting tired,user_tired
i feel tired,user_tired
i just want to talk,user_wants_to_talk
let's talk about something,user_wants_to_talk
let's have a conversation,user_wants_to_talk
can we speak?,user_wants_to_talk
can we talk?,user_wants_to_talk
i'd like to talk to you,user_wants_to_talk
i want to talk to you,user_wants_to_talk
i have to talk to you,user_wants_to_talk
i need to talk to you,user_wants_to_talk
i'd like to talk with you,user_wants_to_talk
i want to talk with you,user_wants_to_talk
i want to speak to you,user_wants_to_talk
i want to speak with you,user_wants_to_talk
can we chat?,user_wants_to_talk
I just want to talk,user_wants_to_talk
let's discuss something,user_wants_to_talk
let's have a discussion,user_wants_to_talk
can we talk,user_wants_to_talk
let's talk,user_wants_to_talk
I want to talk to you,user_wants_to_talk
I need to talk to you,user_wants_to_talk
I want to speak with you,user_wants_to_talk
can we chat,user_wants_to_talk
